PLAYER_NAME,TEAM_ABBREVIATION,POSITION,AGE,HEIGHT,WEIGHT,EXP,FGM,STL,PFD,AST
Jock Landale,HOU,C,29,"6'11""",255,3,81,13,35,37
Joe Ingles,MIN,F-G,37,"6'8""",220,10,6,2,5,23
Joel Embiid,PHI,C-F,31,"7'0""",280,8,140,14,117,85
John Collins,UTA,F-C,27,"6'9""",226,7,280,39,155,80
John Konchar,MEM,G,29,"6'5""",210,5,41,30,17,42
Johnny Furphy,IND,G,20,"6'9""",200,R,35,18,23,19
Johnny Juzang,UTA,G,24,"6'5""",226,2,204,39,43,68
Jonas Valančiūnas,SAC,C,32,"6'11""",265,12,345,37,168,164
Jonathan Isaac,ORL,F,27,"6'10""",230,5,134,61,79,40
Jonathan Kuminga,GSW,F,22,"6'7""",225,3,258,38,145,104
Jonathan Mogbo,TOR,F,23,"6'9""",225,R,156,55,70,146
Jordan Clarkson,UTA,G,32,"6'3""",194,10,201,31,110,138
Jordan Goodwin,LAL,G,26,"6'5""",215,3,63,30,12,42
Jordan Hawkins,NOP,G,22,"6'5""",190,1,207,30,73,66
Jordan McLaughlin,SAS,G,29,"6'0""",185,5,31,16,23,51
Jordan Miller,LAC,G,25,"6'5""",194,1,58,17,26,34
Jordan Poole,WAS,G,25,"6'4""",194,5,457,86,287,303
Jordan Walsh,BOS,G,21,"6'6""",205,1,30,12,15,19
Jose Alvarado,NOP,G,27,"6'0""",179,3,204,74,75,259
Josh Christopher,MIA,G,23,"6'4""",215,2,11,5,4,8
Josh Giddey,CHI,G,22,"6'8""",216,3,371,84,179,503
Josh Green,CHA,G,24,"6'5""",200,4,180,74,87,108
Josh Hart,NYK,G,30,"6'4""",215,7,404,119,182,453
Josh Minott,MIN,F,22,"6'8""",205,2,44,15,15,18
Josh Okogie,CHA,G,26,"6'4""",213,6,94,48,68,33
Jrue Holiday,BOS,G,34,"6'4""",205,15,254,66,75,239
Julian Champagnie,SAS,F,23,"6'7""",217,2,276,61,54,111
Julian Phillips,CHI,F,21,"6'8""",198,1,128,38,60,39
Julian Strawther,DEN,G,22,"6'6""",205,1,210,39,97,83
Julius Randle,MIN,F-C,30,"6'9""",250,10,455,47,257,323
Justin Champagnie,WAS,G-F,23,"6'6""",206,3,210,65,53,60
Justin Edwards,PHI,F,21,"6'7""",203,R,172,45,38,69
Justin Minaya,POR,F,26,"6'5""",205,2,8,6,3,7
Jusuf Nurkić,CHA,C,30,"7'0""",290,10,168,40,127,115
KJ Martin,UTA,F,24,"6'6""",215,4,111,17,36,48
KJ Simpson,CHA,G,22,"6'0""",189,R,104,34,77,112
Kai Jones,DAL,C-F,24,"6'11""",221,2,87,15,27,25
Karl-Anthony Towns,NYK,C-F,29,"7'0""",248,9,639,71,345,222
Karlo Matković,NOP,F-C,24,"6'10""",231,R,135,22,40,46
Kawhi Leonard,LAC,F,33,"6'7""",225,12,310,59,122,116
Keaton Wallace,ATL,G,26,"6'3""",185,R,65,28,12,81
Keegan Murray,SAC,F,24,"6'8""",225,2,364,61,79,109
Keion Brooks Jr.,NOP,F,24,"6'7""",210,R,53,10,20,13
Kel'el Ware,MIA,C,20,"7'0""",230,R,257,39,55,60
Keldon Johnson,SAS,F-G,25,"6'5""",220,5,371,49,140,125
Kelly Olynyk,NOP,F-C,33,"6'11""",240,11,134,33,96,128
Kelly Oubre Jr.,PHI,F-G,29,"6'8""",203,9,348,92,168,108
Kenrich Williams,OKC,G-F,30,"6'6""",210,6,171,43,54,97
Kentavious Caldwell-Pope,ORL,G,32,"6'5""",204,11,239,99,105,136
Keon Ellis,SAC,G,25,"6'4""",175,2,227,121,94,120
Keon Johnson,BKN,G,23,"6'5""",185,3,303,82,120,175
Keshad Johnson,MIA,F,23,"6'7""",225,R,18,5,6,4
Kessler Edwards,DAL,F,24,"6'7""",203,3,67,19,15,42
Kevin Durant,PHX,F,36,"6'11""",240,16,592,50,331,263
Kevin Huerter,CHI,G-F,26,"6'7""",198,6,257,66,43,156
Kevin Knox II,GSW,F,25,"6'8""",215,6,18,2,6,5
Kevin Love,MIA,F-C,36,"6'8""",251,16,41,15,22,22
Kevin McCullar Jr.,NYK,G,24,"6'6""",210,R,2,1,3,2
Kevin Porter Jr.,MIL,G-F,24,"6'4""",203,4,293,81,145,256
Kevon Looney,GSW,F,29,"6'9""",222,9,143,46,84,118
Keyonte George,UTA,G,21,"6'4""",185,1,359,46,227,377
Khris Middleton,WAS,F,33,"6'7""",222,12,160,35,69,150
Klay Thompson,DAL,G,35,"6'5""",220,11,361,50,51,145
Kobe Brown,LAC,F,25,"6'7""",250,1,33,7,11,24
Kobe Bufkin,ATL,G,21,"6'4""",195,1,18,3,12,17
Kris Dunn,LAC,G,31,"6'3""",205,8,192,128,36,210
Kris Murray,POR,F,24,"6'8""",216,1,117,35,42,68
Kristaps Porziņģis,BOS,F-C,29,"7'2""",240,8,277,31,214,87
Kyle Anderson,MIA,F-G,31,"6'9""",230,10,142,40,60,145
Kyle Filipowski,UTA,C,21,"6'11""",250,R,260,48,125,140
Kyle Kuzma,MIL,F,29,"6'9""",221,7,370,36,159,152
Kyle Lowry,PHI,G,39,"6'0""",196,18,41,33,37,96
Kylor Kelley,NOP,C,27,"7'0""",230,R,14,1,6,5
Kyrie Irving,DAL,G,33,"6'2""",195,13,447,66,164,231
Kyshawn George,WAS,F,21,"6'8""",200,R,203,68,93,169
LaMelo Ball,CHA,G,23,"6'7""",180,4,406,54,221,346
Lamar Stevens,MEM,F,27,"6'7""",230,4,29,5,8,8
Landry Shamet,NYK,G,28,"6'4""",190,6,106,23,36,27
Larry Nance Jr.,ATL,F-C,32,"6'8""",245,9,80,20,25,38
Lauri Markkanen,UTA,F-C,27,"7'0""",240,7,296,33,159,70
LeBron James,LAL,F,40,"6'9""",250,21,651,70,265,575
Leonard Miller,MIN,F,21,"6'10""",220,1,6,2,4,0
Lester Quinones,NOP,G,24,"6'4""",208,2,31,3,18,24
Lindy Waters III,DET,F,27,"6'6""",210,3,92,27,17,52
Lonnie Walker IV,PHI,G-F,26,"6'4""",204,6,89,10,20,50
Lonzo Ball,CHI,G,27,"6'6""",190,5,89,47,18,115
Luguentz Dort,OKC,G,25,"6'4""",220,5,258,79,108,115
Luka Dončić,LAL,F-G,26,"6'6""",230,6,461,89,293,383
Luka Garza,MIN,C,26,"6'10""",243,3,52,6,28,11
Luke Kennard,MEM,G,28,"6'5""",206,7,206,50,45,215
Luke Kornet,BOS,C-F,29,"7'1""",250,7,187,36,104,117
Luke Travers,CLE,F,23,"6'7""",207,R,5,1,1,8
Mac McClung,ORL,G,26,"6'2""",185,2,0,0,1,3
Malaki Branham,SAS,F,21,"6'4""",180,2,87,11,23,38
Malcolm Brogdon,WAS,G,32,"6'4""",229,8,104,13,68,98
Malik Beasley,DET,G,28,"6'4""",187,8,461,73,108,139
Malik Monk,SAC,G,27,"6'3""",200,7,412,61,149,362
MarJon Beauchamp,NYK,F,24,"6'7""",199,2,27,4,12,11
Marcus Bagley,PHI,F,23,"6'6""",217,R,27,9,10,10
Marcus Sasser,DET,G,24,"6'2""",195,1,137,37,49,133
Marcus Smart,WAS,G,31,"6'3""",220,10,101,39,68,109
Mark Williams,CHA,C,23,"7'0""",240,2,270,32,128,109
Markelle Fultz,SAC,G,26,"6'4""",209,7,28,10,3,27
Markieff Morris,LAL,F,35,"6'9""",245,13,21,2,5,21
Marvin Bagley III,MEM,F,26,"6'10""",235,6,55,9,26,11
Mason Jones,SAC,G,26,"6'4""",200,3,9,0,3,11
Mason Plumlee,PHX,F-C,35,"6'10""",254,11,125,33,110,134
Matas Buzelis,CHI,F,20,"6'10""",209,R,252,29,80,79
Matisse Thybulle,POR,G-F,28,"6'5""",201,5,42,33,13,28
Max Christie,DAL,G,22,"6'5""",190,2,252,64,113,146
Max Strus,CLE,G-F,29,"6'5""",215,5,165,26,57,158
Maxi Kleber,LAL,F,33,"6'10""",240,7,37,9,29,43
Maxwell Lewis,BKN,F,22,"6'7""",215,1,45,9,8,19
Micah Potter,UTA,C,27,"6'9""",248,3,57,14,26,31
Michael Porter Jr.,DEN,F,26,"6'10""",218,5,528,50,138,165
Mikal Bridges,NYK,G-F,28,"6'6""",209,6,592,75,130,306
Mike Conley,MIN,G,37,"6'0""",175,17,187,79,100,319
Miles Bridges,CHA,F,27,"6'7""",225,5,469,44,181,248
Miles McBride,NYK,G,24,"6'1""",195,3,222,67,69,187
Miles Norris,BOS,F,24,"6'7""",220,R,2,2,1,0
Mitchell Robinson,NYK,C-F,27,"7'0""",240,6,37,16,17,13
Monté Morris,PHX,G,29,"6'2""",183,7,83,20,29,73
Moritz Wagner,ORL,F-C,27,"6'11""",245,6,140,24,96,42
Moses Moody,GSW,G,22,"6'5""",211,3,246,59,104,96
Mouhamed Gueye,ATL,F,22,"6'10""",210,1,72,28,30,27
Moussa Diabaté,CHA,F,23,"6'9""",210,2,167,46,115,56
Myles Turner,IND,C-F,29,"6'11""",250,9,390,54,204,111
N'Faly Dante,HOU,C,23,"6'11""",230,R,10,1,3,2
Nae'Qwan Tomlin,CLE,F,24,"6'10""",210,R,13,0,8,2
Naji Marshall,DAL,F,27,"6'6""",220,4,362,70,118,208
Nate Williams,HOU,G,26,"6'5""",205,2,27,8,7,9
Naz Reid,MIN,C-F,25,"6'9""",264,5,426,58,119,181
Neemias Queta,BOS,C,25,"7'0""",248,3,132,18,58,45
Nic Claxton,BKN,C,25,"6'11""",215,5,320,62,179,157
Nick Richards,PHX,C,27,"7'0""",245,4,205,14,118,49
Nick Smith Jr.,CHA,G,20,"6'2""",185,1,222,17,40,145
Nickeil Alexander-Walker,MIN,G,26,"6'5""",205,5,270,50,139,223
Nicolas Batum,LAC,G-F,36,"6'8""",230,16,104,52,21,84
Nikola Jokić,DEN,C,30,"6'11""",284,9,786,127,410,716
Nikola Jović,MIA,F,21,"6'10""",205,2,172,38,78,131
Nikola Vučević,CHI,C,34,"6'10""",260,13,550,61,164,256
Noah Clowney,BKN,F-C,20,"6'9""",210,1,133,24,82,40
Norman Powell,LAC,G,31,"6'4""",215,9,457,73,208,125
OG Anunoby,NYK,F-G,27,"6'7""",240,7,489,110,175,164
Obi Toppin,IND,F,27,"6'9""",220,4,317,46,89,128
Ochai Agbaji,TOR,G,24,"6'5""",215,2,266,58,48,98
Olivier-Maxence Prosper,DAL,F,22,"6'7""",230,1,70,26,53,40
Onyeka Okongwu,ATL,F-C,24,"6'10""",240,4,388,69,167,168
Oscar Tshiebwe,UTA,F-C,25,"6'8""",255,1,42,13,22,9
Oso Ighodaro,PHX,F,22,"7'0""",235,R,113,28,47,71
Ousmane Dieng,OKC,F,21,"6'9""",185,2,54,17,13,31
P.J. Tucker,NYK,F,39,"6'5""",245,13,3,1,1,0
P.J. Washington,DAL,F,26,"6'6""",230,5,301,63,158,131
PJ Hall,DEN,C,23,"6'10""",245,R,14,0,3,4
Pacôme Dadiet,NYK,F,19,"6'8""",210,R,10,3,6,5
Paolo Banchero,ORL,F,22,"6'10""",250,2,412,36,265,219
Pascal Siakam,IND,F,31,"6'8""",245,8,613,70,267,263
Pat Connaughton,MIL,G,32,"6'5""",209,9,83,9,31,70
Pat Spencer,GSW,G,28,"6'3""",205,1,41,14,19,48
Patrick Baldwin Jr.,LAC,F,22,"6'9""",220,2,19,3,3,3
Patrick Williams,CHI,F,23,"6'7""",215,4,205,48,67,124
Patty Mills,LAC,G,36,"6'2""",180,15,36,13,18,26
Paul George,PHI,F,34,"6'8""",220,14,245,75,110,178
Paul Reed,DET,F,25,"6'9""",210,4,72,39,34,44
Payton Pritchard,BOS,G,27,"6'1""",195,4,409,70,86,279
Pelle Larsson,MIA,G,24,"6'5""",215,R,89,32,55,65
Pete Nance,MIL,F,25,"6'10""",225,1,14,2,1,10
Peyton Watson,DEN,G,22,"6'7""",200,2,204,48,94,94
Precious Achiuwa,NYK,F,25,"6'8""",243,4,164,47,51,55
Quentin Grimes,PHI,G,24,"6'4""",210,3,384,74,174,228
Quenton Jackson,IND,G,26,"6'5""",173,2,58,21,44,53
Quinten Post,GSW,C,25,"7'0""",238,R,123,16,24,56
RJ Barrett,TOR,F-G,24,"6'6""",214,5,460,46,233,314
RayJ Dennis,IND,G,24,"6'2""",180,R,11,7,2,14
