PLAYER_NAME,TEAM_ABBREVIATION,POSITION,AGE,HEIGHT,WEIGHT,EXP,FGM,STL,PFD,AST
A.J. Lawson,TOR,G,24,"6'6""",179,2,80,13,38,31
AJ Green,MIL,G,25,"6'4""",190,2,182,37,50,108
AJ Johnson,WAS,G,20,"6'5""",160,R,82,12,27,76
Aaron Gordon,DEN,F,29,"6'8""",235,10,264,23,137,164
Aaron Holiday,HOU,G,28,"6'0""",185,6,117,19,49,83
Aaron Nesmith,IND,G-F,25,"6'6""",215,4,192,35,77,54
Aaron Wiggins,OKC,G,26,"6'5""",190,3,355,60,68,134
Adam Flagler,OKC,G,25,"6'3""",180,1,25,8,1,12
Adem Bona,PHI,F,22,"6'10""",235,R,135,26,90,27
Ajay Mitchell,OKC,G,22,"6'5""",190,R,91,25,55,64
Al Horford,BOS,C-F,38,"6'9""",240,17,195,36,35,128
Alec Burks,MIA,G,33,"6'5""",214,13,115,28,43,55
Alex Caruso,OKC,G,31,"6'5""",186,7,140,87,62,137
Alex Ducas,OKC,G,24,"6'7""",220,R,12,5,1,5
Alex Len,LAL,C,31,"7'0""",250,11,32,9,18,38
Alex Reese,PHI,F-C,25,"6'9""",245,R,26,10,10,4
Alex Sarr,WAS,C,19,"7'0""",205,R,326,44,123,161
Alperen Sengun,HOU,C,22,"6'11""",243,3,567,84,406,372
Amen Thompson,HOU,G-F,22,"6'7""",200,1,388,97,175,265
Amir Coffey,LAC,G-F,27,"6'7""",210,5,240,40,95,77
Andre Drummond,PHI,C,31,"6'11""",279,12,117,39,69,34
Andre Jackson Jr.,MIL,G,23,"6'6""",209,1,94,34,27,83
Andrew Nembhard,IND,G-F,25,"6'4""",191,2,247,79,130,326
Andrew Wiggins,MIA,F,30,"6'7""",197,10,376,60,174,158
Anfernee Simons,POR,G,25,"6'3""",200,6,479,60,140,337
Anthony Black,ORL,G,21,"6'7""",200,1,262,86,182,240
Anthony Davis,DAL,F-C,32,"6'10""",253,12,470,59,273,181
Anthony Edwards,MIN,G,23,"6'4""",225,4,721,91,343,359
Anthony Gill,WAS,F,32,"6'8""",230,4,43,9,37,16
Anton Watson,NYK,F,24,"6'8""",225,R,4,1,0,2
Antonio Reeves,NOP,G,22,"6'5""",205,R,113,21,22,39
Ariel Hukporti,NYK,C,23,"6'11""",246,R,21,1,13,11
Ausar Thompson,DET,G-F,22,"6'6""",205,1,246,98,130,134
Austin Reaves,LAL,G,26,"6'5""",197,3,477,81,321,421
Ayo Dosunmu,CHI,G,25,"6'5""",200,3,221,43,63,208
Bam Adebayo,MIA,C-F,27,"6'9""",255,7,540,98,309,337
Baylor Scheierman,BOS,G,24,"6'6""",205,R,39,17,18,33
Ben Sheppard,IND,G,23,"6'6""",190,1,120,38,35,85
Ben Simmons,LAC,G-F,28,"6'10""",240,6,116,38,58,285
Bennedict Mathurin,IND,G-F,22,"6'5""",210,2,391,47,245,136
Bilal Coulibaly,WAS,G,20,"6'8""",195,1,263,78,143,199
Bismack Biyombo,SAS,C,32,"6'8""",255,13,67,16,28,31
Blake Wesley,SAS,G,22,"6'3""",185,2,81,37,56,114
Bobby Portis,MIL,F,30,"6'10""",250,9,277,35,72,104
Bobi Klintman,DET,F,22,"6'9""",225,R,6,2,2,7
Bogdan Bogdanović,LAC,G,32,"6'5""",225,7,210,41,73,146
Bol Bol,PHX,C-F,25,"7'3""",220,5,96,9,18,22
Bones Hyland,MIN,G,24,"6'2""",169,3,47,18,17,32
Bradley Beal,PHX,G,31,"6'4""",207,12,345,58,115,195
Branden Carlson,OKC,C,25,"7'0""",220,R,43,5,13,14
Brandin Podziemski,GSW,G,22,"6'4""",205,1,280,69,123,220
Brandon Boston,NOP,G,23,"6'6""",188,3,166,53,67,92
Brandon Clarke,MEM,F,28,"6'8""",215,5,236,52,79,66
Brandon Ingram,TOR,F,27,"6'8""",190,8,155,16,66,93
Brandon Miller,CHA,F,22,"6'7""",200,1,198,29,72,98
Brandon Williams,DAL,G,25,"6'1""",190,2,98,24,57,76
Braxton Key,GSW,F,28,"6'8""",225,3,0,2,3,0
Brice Sensabaugh,UTA,F,21,"6'5""",235,1,275,46,54,110
Bronny James,LAL,G,20,"6'3""",210,R,21,9,10,22
Brook Lopez,MIL,C,37,"7'1""",282,16,394,50,135,143
Bruce Brown,NOP,G-F,28,"6'4""",202,6,130,34,48,84
Bryce McGowens,POR,G,22,"6'6""",190,2,4,1,5,2
Bub Carrington,WAS,G,19,"6'4""",190,R,300,54,111,364
Buddy Hield,GSW,G,32,"6'4""",220,8,328,69,46,134
CJ McCollum,NOP,G,33,"6'3""",190,11,444,46,136,227
Cade Cunningham,DET,G,23,"6'6""",220,3,684,71,279,638
Caleb Houstan,ORL,G,22,"6'8""",205,2,80,22,18,35
Caleb Martin,DAL,F,29,"6'5""",205,5,129,46,81,95
Cam Christie,LAC,G,19,"6'6""",190,R,7,5,3,6
Cam Spencer,MEM,G,25,"6'4""",205,R,34,9,14,34
Cam Thomas,BKN,G,23,"6'3""",210,3,199,15,115,94
Cam Whitmore,HOU,F,20,"6'7""",230,1,179,31,46,49
Cameron Johnson,BKN,F,29,"6'8""",210,5,355,53,170,194
Cameron Payne,NYK,G,30,"6'3""",183,9,179,39,61,203
Caris LeVert,ATL,G,30,"6'6""",205,8,280,57,109,215
Cason Wallace,OKC,G,21,"6'3""",195,1,232,120,42,173
Charles Bassey,SAS,C-F,24,"6'10""",230,3,68,14,26,17
Chet Holmgren,OKC,C-F,22,"7'1""",208,1,167,23,95,63
Chris Boucher,TOR,F,32,"6'9""",200,7,182,24,69,33
Chris Livingston,MIL,F,21,"6'6""",220,1,9,5,10,5
Chris Paul,SAS,G,39,"6'0""",175,19,249,103,85,605
Christian Braun,DEN,G,23,"6'6""",220,2,476,85,143,205
Christian Koloko,LAL,C,24,"7'0""",225,1,40,8,21,16
Chuma Okeke,CLE,F,26,"6'7""",229,4,20,5,7,15
Clint Capela,ATL,C,30,"6'10""",256,10,218,34,89,62
Coby White,CHI,G,25,"6'5""",195,5,508,69,267,330
Cody Martin,PHX,F,29,"6'6""",205,5,136,56,61,105
Cody Williams,UTA,F,20,"6'7""",190,R,83,23,31,59
Colby Jones,WAS,G,22,"6'6""",207,1,59,26,33,44
Cole Anthony,ORL,G,24,"6'2""",185,4,230,45,105,191
Colin Castleton,TOR,C,24,"6'10""",250,1,46,8,31,28
Collin Gillespie,PHX,G,25,"6'1""",195,1,68,21,25,78
Collin Sexton,UTA,G,26,"6'3""",190,6,416,47,219,264
Corey Kispert,WAS,F,26,"6'6""",224,3,255,26,60,103
Cory Joseph,ORL,G,33,"6'2""",200,13,62,26,38,72
Craig Porter Jr.,CLE,G,25,"6'1""",180,1,72,17,23,71
D'Angelo Russell,BKN,G,29,"6'3""",193,9,249,56,139,297
DaQuan Jeffries,CHA,G-F,27,"6'5""",222,5,118,26,28,53
Daeqwon Plowden,ATL,G-F,26,"6'6""",216,R,16,0,1,2
Dalano Banton,POR,F,25,"6'8""",203,3,198,43,92,160
Dalen Terry,CHI,F,22,"6'7""",195,2,120,44,55,97
Dalton Knecht,LAL,F,23,"6'6""",215,R,257,24,58,66
Damian Lillard,MIL,G,34,"6'2""",195,12,444,70,299,410
Damion Baugh,CHA,G,24,"6'4""",194,R,42,15,18,56
Damion Lee,PHX,G-F,32,"6'6""",210,6,27,6,12,11
Daniel Gafford,DAL,F-C,26,"6'10""",265,5,283,23,155,80
Daniss Jenkins,DET,G,23,"6'3""",165,R,3,0,2,3
Danté Exum,DAL,G,29,"6'5""",214,7,64,12,31,56
Dario Šarić,DEN,F-C,31,"6'10""",225,7,21,7,15,23
Dariq Whitehead,BKN,G-F,20,"6'6""",220,1,39,6,7,12
Darius Garland,CLE,G,25,"6'1""",192,5,554,91,227,506
David Duke Jr.,SAS,G,25,"6'4""",204,3,6,1,2,4
David Roddy,HOU,F,24,"6'4""",255,2,57,14,20,35
Davion Mitchell,MIA,G,26,"6'0""",202,3,223,72,132,363
Day'Ron Sharpe,BKN,C,23,"6'9""",265,3,165,41,73,91
De'Aaron Fox,SAS,G,27,"6'3""",185,7,539,91,261,392
De'Andre Hunter,CLE,F-G,27,"6'8""",221,5,358,50,211,92
De'Anthony Melton,BKN,G,26,"6'3""",200,6,22,7,7,17
DeAndre Jordan,DEN,C,36,"6'11""",265,16,91,16,68,53
DeMar DeRozan,SAC,G-F,35,"6'6""",220,15,624,62,316,342
Dean Wade,CLE,F-C,28,"6'9""",228,5,112,42,32,76
Deandre Ayton,POR,C,26,"7'0""",252,6,265,31,59,64
Dejounte Murray,NOP,G,28,"6'4""",180,7,194,63,82,228
Delon Wright,NYK,G,32,"6'5""",185,9,45,35,31,77
Deni Avdija,POR,F,24,"6'9""",240,4,402,71,295,281
Dennis Schröder,DET,G,31,"6'1""",175,11,336,66,211,404
Dereck Lively II,DAL,C,21,"7'1""",230,1,134,20,51,85
Derrick Jones Jr.,LAC,F,28,"6'6""",210,8,310,79,102,60
Derrick White,BOS,G,30,"6'4""",190,7,424,72,164,361
Desmond Bane,MEM,G,26,"6'5""",215,4,493,80,137,369
Devin Booker,PHX,G,28,"6'6""",206,9,654,67,404,529
Devin Carter,SAC,G,23,"6'2""",195,R,47,21,47,41
Devin Vassell,SAS,G-F,24,"6'5""",200,4,394,84,98,183
Dillon Brooks,HOU,G-F,29,"6'6""",225,7,384,60,109,128
Dillon Jones,OKC,F,23,"6'5""",235,R,51,16,21,58
Domantas Sabonis,SAC,F-C,28,"6'10""",240,8,527,48,277,423
Dominick Barlow,ATL,F,21,"6'8""",215,2,60,9,29,19
Donovan Clingan,POR,C,21,"7'2""",280,R,180,34,98,77
Donovan Mitchell,CLE,G,28,"6'3""",215,7,585,95,278,354
Donte DiVincenzo,MIN,G,28,"6'4""",203,6,250,73,86,225
Dorian Finney-Smith,LAL,F,31,"6'7""",220,8,195,58,42,90
Doug McDermott,SAC,F,33,"6'6""",225,10,50,4,3,7
Draymond Green,GSW,F,35,"6'6""",230,12,216,99,176,383
Drew Eubanks,LAC,F-C,28,"6'10""",245,6,115,12,64,54
Drew Peterson,BOS,F,25,"6'9""",205,1,17,5,7,13
Drew Timme,BKN,F,24,"6'10""",235,R,45,4,22,20
Dru Smith,MIA,G,27,"6'2""",203,2,31,21,11,23
Duncan Robinson,MIA,F,30,"6'7""",215,6,290,40,61,176
Duop Reath,POR,C,28,"6'9""",245,1,70,12,17,26
Dwight Powell,DAL,F-C,33,"6'10""",240,10,42,18,48,55
Dyson Daniels,ATL,G,22,"6'7""",199,2,455,229,131,333
E.J. Liddell,CHI,F,24,"6'6""",240,1,8,1,1,3
Elfrid Payton,NOP,G,31,"6'3""",195,8,40,24,11,166
Elijah Harkless,UTA,G,25,"6'3""",195,R,11,10,12,8
Emanuel Miller,CHI,F,24,"6'7""",215,R,4,1,1,2
Emoni Bates,CLE,F,21,"6'8""",202,1,13,1,0,8
Enrique Freeman,IND,F,24,"6'7""",220,R,16,3,15,9
Eric Gordon,PHI,G,36,"6'3""",215,16,87,26,33,65
Evan Mobley,CLE,C,23,"6'11""",215,3,505,61,239,226
Franz Wagner,ORL,F,23,"6'10""",220,3,537,75,252,284
Fred VanVleet,HOU,G,31,"6'0""",197,8,287,94,116,333
GG Jackson,MEM,F,20,"6'9""",210,1,74,12,32,29
Gabe Vincent,LAL,G,28,"6'2""",200,5,168,51,45,98
Garrett Temple,TOR,G-F,38,"6'5""",195,14,18,17,15,31
Garrison Mathews,ATL,G,28,"6'6""",215,5,102,26,68,60
Gary Harris,ORL,G,30,"6'4""",210,10,51,26,7,30
Gary Payton II,GSW,G,32,"6'2""",195,8,171,52,36,83
Gary Trent Jr.,MIL,G,26,"6'5""",204,6,283,72,71,87
Georges Niang,ATL,F,31,"6'7""",230,8,286,28,58,111
