PLAYER_NAME,TEAM_ABBREVIATION,AGE,HEIGHT,WEIGHT,EXP,FGM,STL,PFD,AST
De'Andre Hunter,CLE,27,"6'8""",221,5,349,48,209,90
De'Anthony Melton,BKN,26,"6'3""",200,6,22,7,7,17
DeAndre Jordan,DEN,36,"6'11""",265,16,88,15,67,53
DeMar DeRozan,SAC,35,"6'6""",220,15,614,62,310,329
Dean Wade,CLE,28,"6'9""",228,5,109,40,31,72
Deandre Ayton,POR,26,"7'0""",252,6,265,31,59,64
Dejounte Murray,NOP,28,"6'4""",180,7,194,63,82,228
Delon Wright,NYK,32,"6'5""",185,9,43,33,28,72
Deni Avdija,POR,24,"6'9""",240,4,402,71,295,281
Dennis Schröder,DET,31,"6'1""",175,11,328,65,205,395
Dereck Lively II,DAL,21,"7'1""",230,1,129,20,50,85
Derrick Jones Jr.,LAC,28,"6'6""",210,8,304,77,100,59
Derrick White,BOS,30,"6'4""",190,7,416,71,162,354
Desmond Bane,MEM,26,"6'5""",215,4,473,78,132,359
Devin Booker,PHX,28,"6'6""",206,9,646,67,403,524
Devin Carter,SAC,23,"6'2""",195,R,42,18,43,38
Devin Vassell,SAS,24,"6'5""",200,4,394,84,98,183
Dillon Brooks,HOU,29,"6'6""",225,7,381,60,108,127
Dillon Jones,OKC,23,"6'5""",235,R,43,13,20,53
Domantas Sabonis,SAC,28,"6'10""",240,8,511,44,274,412
Dominick Barlow,ATL,21,"6'8""",215,2,53,9,25,17
Donovan Clingan,POR,21,"7'2""",280,R,167,33,90,73
Donovan Mitchell,CLE,28,"6'3""",215,7,585,95,278,354
Donte DiVincenzo,MIN,28,"6'4""",203,6,238,71,86,215
Dorian Finney-Smith,LAL,31,"6'7""",220,8,189,55,42,90
Doug McDermott,SAC,33,"6'6""",225,10,48,4,3,5
Draymond Green,GSW,35,"6'6""",230,12,210,94,174,374
Drew Eubanks,LAC,28,"6'10""",245,6,115,12,64,53
Drew Peterson,BOS,25,"6'9""",205,1,15,5,6,13
Drew Timme,BKN,24,"6'10""",235,R,32,4,12,10
Dru Smith,MIA,27,"6'2""",203,2,31,21,11,23
Duncan Robinson,MIA,30,"6'7""",215,6,281,40,59,174
Duop Reath,POR,28,"6'9""",245,1,70,12,17,26
Dwight Powell,DAL,33,"6'10""",240,10,40,17,47,55
Dyson Daniels,ATL,22,"6'7""",199,2,447,223,129,316
E.J. Liddell,CHI,24,"6'6""",240,1,8,1,1,3
Elfrid Payton,NOP,31,"6'3""",195,8,36,23,9,135
Elijah Harkless,UTA,25,"6'3""",195,R,11,10,12,8
Emanuel Miller,CHI,24,"6'7""",215,R,1,0,1,2
Emoni Bates,CLE,21,"6'8""",202,1,4,1,0,6
Enrique Freeman,IND,24,"6'7""",220,R,12,2,13,8
Eric Gordon,PHI,36,"6'3""",215,16,87,26,33,65
Evan Mobley,CLE,23,"6'11""",215,3,502,60,232,224
Franz Wagner,ORL,23,"6'10""",220,3,537,75,252,284
Fred VanVleet,HOU,31,"6'0""",197,8,282,93,114,330
GG Jackson,MEM,20,"6'9""",210,1,71,12,30,26
Gabe Vincent,LAL,28,"6'2""",200,5,168,50,45,97
Garrett Temple,TOR,38,"6'5""",195,14,13,16,14,27
Garrison Mathews,ATL,28,"6'6""",215,5,98,26,64,59
Gary Harris,ORL,30,"6'4""",210,10,43,25,7,29
Gary Payton II,GSW,32,"6'2""",195,8,169,49,36,79
Gary Trent Jr.,MIL,26,"6'5""",204,6,274,68,69,84
Georges Niang,ATL,31,"6'7""",230,8,276,28,58,110
Giannis Antetokounmpo,MIL,30,"6'11""",243,11,771,57,495,413
Goga Bitadze,ORL,25,"6'10""",250,5,200,47,112,130
Gradey Dick,TOR,21,"6'6""",200,1,265,48,127,98
Grant Williams,CHA,26,"6'6""",236,5,54,18,43,37
Grayson Allen,PHX,29,"6'4""",198,6,206,53,105,126
Guerschon Yabusele,PHI,29,"6'8""",265,2,282,58,131,148
Gui Santos,GSW,22,"6'6""",185,1,82,25,41,79
Harrison Barnes,SAS,32,"6'8""",225,12,342,36,143,134
Harrison Ingram,SAS,22,"6'5""",230,R,1,2,0,2
Haywood Highsmith,MIA,28,"6'5""",220,4,170,68,47,108
Herbert Jones,NOP,26,"6'7""",206,3,75,37,39,65
Hunter Tyson,DEN,24,"6'8""",215,1,45,10,17,19
Immanuel Quickley,TOR,25,"6'2""",190,4,184,23,95,191
Isaac Jones,SAC,24,"6'9""",245,R,53,5,30,12
Isaac Okoro,CLE,24,"6'5""",225,4,113,31,42,65
Isaiah Collier,UTA,20,"6'3""",210,R,234,66,135,446
Isaiah Crawford,SAC,23,"6'6""",220,R,5,1,1,1
Isaiah Hartenstein,OKC,26,"7'0""",250,6,279,47,94,218
Isaiah Jackson,IND,23,"6'9""",205,3,14,3,7,5
Isaiah Joe,OKC,25,"6'3""",165,4,243,44,98,109
Isaiah Stevens,MIA,24,"6'0""",185,R,0,1,0,0
Isaiah Stewart,DET,23,"6'8""",250,4,176,28,92,122
Isaiah Wong,CHA,24,,,,41,11,24,28
Ivica Zubac,LAC,28,"7'0""",240,8,573,54,241,211
JD Davison,BOS,22,"6'1""",195,2,7,3,4,8
JT Thor,WAS,22,"6'9""",203,3,24,7,12,6
Ja Morant,MEM,25,"6'2""",174,5,383,59,240,352
Ja'Kobe Walter,TOR,20,"6'5""",180,R,159,43,72,81
Jabari Smith Jr.,HOU,21,"6'10""",220,2,248,25,120,60
Jabari Walker,POR,22,"6'7""",237,2,108,31,58,35
Jack McVeigh,HOU,28,"6'8""",215,R,5,0,0,1
Jackson Rowe,GSW,28,"6'7""",210,R,8,4,3,4
Jacob Toppin,ATL,24,"6'8""",200,1,3,2,0,4
Jaden Hardy,DAL,22,"6'3""",198,2,173,27,65,77
Jaden Ivey,DET,23,"6'4""",195,2,190,28,95,119
Jaden McDaniels,MIN,24,"6'9""",185,4,385,106,132,160
Jaden Springer,UTA,22,"6'4""",202,3,34,22,36,31
Jae Crowder,SAC,34,"6'6""",235,12,7,3,3,6
Jae'Sean Tate,HOU,29,"6'4""",230,4,70,26,53,47
Jahlil Okafor,IND,29,,,,0,0,0,1
Jahmir Young,CHI,24,"6'1""",185,R,2,0,0,3
Jaime Jaquez Jr.,MIA,24,"6'6""",225,1,191,60,94,154
Jake LaRavia,SAC,23,"6'7""",235,2,160,62,91,158
Jakob Poeltl,TOR,29,"7'0""",260,8,363,66,130,158
Jalen Bridges,PHX,23,"6'8""",225,R,1,0,2,0
Jalen Brunson,NYK,28,"6'2""",190,6,571,59,399,468
Jalen Duren,DET,21,"6'10""",250,2,362,53,199,200
Jalen Green,HOU,23,"6'4""",186,3,605,70,244,277
Jalen Hood-Schifino,PHI,21,"6'5""",210,1,32,5,16,28
Jalen Johnson,ATL,23,"6'8""",219,3,271,56,99,181
Jalen McDaniels,WAS,27,,,,0,1,0,1
Jalen Pickett,DEN,25,"6'2""",202,1,77,17,8,104
Jalen Smith,CHI,25,"6'9""",215,4,184,17,82,63
Jalen Suggs,ORL,23,"6'5""",205,3,197,51,129,129
Jalen Williams,OKC,23,"6'5""",211,2,565,111,245,355
Jalen Wilson,BKN,24,"6'6""",220,1,229,39,117,135
Jamal Cain,NOP,26,"6'6""",191,2,48,20,23,18
Jamal Murray,DEN,28,"6'4""",215,7,520,91,203,393
Jamal Shead,TOR,22,"6'1""",200,R,197,56,94,302
Jamaree Bouyea,MIL,25,"6'2""",180,2,1,1,0,1
James Harden,LAC,35,"6'5""",220,15,510,114,359,667
James Johnson,IND,38,"6'7""",240,15,4,0,1,4
James Wiseman,IND,24,,,,2,0,1,0
Jamison Battle,TOR,23,"6'7""",220,R,136,15,25,49
Jarace Walker,IND,21,"6'7""",235,1,153,52,60,102
Jared Butler,PHI,24,"6'3""",193,3,187,39,69,208
Jared McCain,PHI,21,"6'3""",195,R,126,15,45,60
Jared Rhoden,TOR,25,"6'5""",210,2,42,10,15,16
Jaren Jackson Jr.,MEM,25,"6'10""",242,6,576,90,330,145
Jarred Vanderbilt,LAL,26,"6'8""",214,6,55,33,37,41
Jarrett Allen,CLE,26,"6'9""",243,7,447,76,254,154
Javonte Green,CLE,31,"6'5""",205,5,117,62,69,52
Jaxson Hayes,LAL,24,"7'0""",220,5,158,31,110,58
Jay Huff,MEM,27,"7'1""",240,3,148,14,41,36
Jaylen Brown,BOS,28,"6'6""",223,8,518,73,292,286
Jaylen Clark,MIN,23,"6'4""",205,R,56,36,25,25
Jaylen Martin,WAS,21,"6'6""",216,R,31,9,8,17
Jaylen Nowell,NOP,25,,,,26,1,9,18
Jaylen Sims,CHA,26,"6'6""",210,R,7,2,8,9
Jaylen Wells,MEM,21,"6'8""",,R,287,44,150,135
Jaylin Williams,OKC,22,"6'9""",240,2,92,21,40,110
Jaylon Tyson,CLE,22,"6'6""",215,R,49,9,18,39
Jayson Tatum,BOS,27,"6'8""",210,7,656,76,305,423
Jazian Gortman,DAL,22,,,,9,2,2,6
Jeff Dowtin Jr.,PHI,27,"6'3""",177,3,111,24,36,75
Jeff Green,HOU,38,"6'8""",235,16,58,6,16,15
Jerami Grant,POR,31,"6'7""",210,10,214,41,121,101
Jeremiah Robinson-Earl,NOP,24,"6'8""",240,3,141,37,46,78
Jeremy Sochan,SAS,21,"6'8""",230,2,251,45,105,128
Jericho Sims,MIL,26,"6'10""",250,3,45,10,22,33
Jesse Edwards,MIN,25,"7'0""",236,R,0,0,1,1
Jett Howard,ORL,21,"6'6""",215,1,84,13,15,42
Jevon Carter,CHI,29,"6'1""",200,6,50,13,8,37
Jimmy Butler III,GSW,35,"6'7""",230,13,283,74,268,282
Jock Landale,HOU,29,"6'11""",255,3,73,11,32,37
Joe Ingles,MIN,37,"6'8""",220,10,6,2,5,23
Joel Embiid,PHI,31,"7'0""",280,8,140,14,117,85
John Collins,UTA,27,"6'9""",226,7,280,39,155,80
John Konchar,MEM,29,"6'5""",210,5,37,23,16,39
Johnny Davis,WAS,23,,,,32,15,14,11
Johnny Furphy,IND,20,"6'9""",200,R,24,16,13,11
Johnny Juzang,UTA,24,"6'5""",226,2,192,37,42,64
Jonas Valančiūnas,SAC,32,"6'11""",265,12,332,37,162,159
Jonathan Isaac,ORL,27,"6'10""",230,5,126,59,73,34
Jonathan Kuminga,GSW,22,"6'7""",225,3,256,37,141,104
Jonathan Mogbo,TOR,23,"6'9""",225,R,148,50,68,128
Jordan Clarkson,UTA,32,"6'3""",194,10,201,31,110,138
Jordan Goodwin,LAL,26,"6'5""",215,3,57,28,11,35
Jordan Hawkins,NOP,22,"6'5""",190,1,207,30,73,66
Jordan McLaughlin,SAS,29,"6'0""",185,5,30,15,22,48
Jordan Miller,LAC,25,"6'5""",194,1,58,17,26,34
Jordan Poole,WAS,25,"6'4""",194,5,457,86,287,303
Jordan Walsh,BOS,21,"6'6""",205,1,26,10,14,18
Jose Alvarado,NOP,26,"6'0""",179,3,194,72,71,255
Josh Christopher,MIA,23,"6'4""",215,2,3,0,3,4
