PLAYER_NAME,TEAM_ABBREVIATION,AGE,HEIGHT,WEIGHT,EXP,FGM,STL,PFD,AST
Max Strus,CLE,29,"6'5""",215,5,158,26,56,155
Maxi Kleber,LAL,33,"6'10""",240,7,37,9,29,43
Maxwell Lewis,BKN,22,"6'7""",215,1,44,9,8,18
Micah Potter,UTA,27,"6'9""",248,3,53,13,25,27
Michael Porter Jr.,DEN,26,"6'10""",218,5,518,50,136,165
Mikal Bridges,NYK,28,"6'6""",209,6,579,72,125,291
Mike Conley,MIN,37,"6'0""",175,17,184,77,99,304
Miles Bridges,CHA,27,"6'7""",225,5,469,44,181,248
Miles McBride,NYK,24,"6'1""",195,3,207,59,65,172
Miles Norris,BOS,24,"6'7""",220,R,2,2,0,0
Mitchell Robinson,NYK,27,"7'0""",240,6,34,14,14,11
Mo Bamba,NOP,26,,,,52,9,19,18
Monté Morris,PHX,29,"6'2""",183,7,80,20,29,71
Moritz Wagner,ORL,27,"6'11""",245,6,140,24,96,42
Moses Brown,DAL,25,,,,34,6,8,2
Moses Moody,GSW,22,"6'5""",211,3,241,54,102,93
Mouhamed Gueye,ATL,22,"6'10""",210,1,66,24,23,24
Moussa Diabaté,CHA,23,"6'9""",210,2,163,44,113,56
Myles Turner,IND,29,"6'11""",250,9,383,54,196,109
N'Faly Dante,HOU,23,"6'11""",230,R,5,0,3,1
Nae'Qwan Tomlin,CLE,24,"6'10""",210,R,5,0,2,0
Naji Marshall,DAL,27,"6'6""",220,4,354,69,118,201
Nate Williams,HOU,26,"6'5""",205,2,19,7,5,6
Naz Reid,MIN,25,"6'9""",264,5,414,58,113,176
Neemias Queta,BOS,25,"7'0""",248,3,128,16,55,40
Nic Claxton,BKN,25,"6'11""",215,5,312,62,174,156
Nick Richards,PHX,27,"7'0""",245,4,205,14,118,49
Nick Smith Jr.,CHA,20,"6'2""",185,1,219,17,40,141
Nickeil Alexander-Walker,MIN,26,"6'5""",205,5,260,47,134,210
Nicolas Batum,LAC,36,"6'8""",230,16,104,52,21,84
Nikola Jokić,DEN,30,"6'11""",284,9,768,123,399,696
Nikola Jović,MIA,21,"6'10""",205,2,172,38,78,131
Nikola Vučević,CHI,34,"6'10""",260,13,540,59,163,248
Noah Clowney,BKN,20,"6'9""",210,1,133,24,82,40
Norman Powell,LAC,31,"6'4""",215,9,447,71,202,124
OG Anunoby,NYK,27,"6'7""",240,7,483,108,173,160
Obi Toppin,IND,27,"6'9""",220,4,308,43,87,123
Ochai Agbaji,TOR,24,"6'5""",215,2,251,51,47,97
Olivier-Maxence Prosper,DAL,22,"6'7""",230,1,70,26,53,40
Onyeka Okongwu,ATL,24,"6'10""",240,4,381,68,165,165
Orlando Robinson,TOR,24,"6'10""",235,2,116,17,53,77
Oscar Tshiebwe,UTA,25,"6'8""",255,1,30,9,18,7
Oshae Brissett,PHI,26,,,,19,4,12,4
Oso Ighodaro,PHX,22,"7'0""",235,R,105,26,46,66
Ousmane Dieng,OKC,21,"6'9""",185,2,54,17,13,31
P.J. Tucker,NYK,39,"6'5""",245,13,0,0,0,0
P.J. Washington,DAL,26,"6'6""",230,5,295,62,156,127
PJ Dozier,MIN,28,,,,2,1,3,5
PJ Hall,DEN,23,"6'10""",245,R,14,0,3,4
Pacôme Dadiet,NYK,19,"6'8""",210,R,9,3,4,5
Paolo Banchero,ORL,22,"6'10""",250,2,412,36,265,219
Pascal Siakam,IND,31,"6'8""",245,8,609,70,264,261
Pat Connaughton,MIL,32,"6'5""",209,9,66,7,22,64
Pat Spencer,GSW,28,"6'3""",205,1,41,13,19,48
Patrick Baldwin Jr.,LAC,22,"6'9""",220,2,19,3,3,3
Patrick Williams,CHI,23,"6'7""",215,4,197,45,64,119
Patty Mills,LAC,36,"6'2""",180,15,36,13,18,26
Paul George,PHI,34,"6'8""",220,14,245,75,110,178
Paul Reed,DET,25,"6'9""",210,4,67,39,34,39
Payton Pritchard,BOS,27,"6'1""",195,4,386,68,83,269
Pelle Larsson,MIA,24,"6'5""",215,R,89,32,55,65
Pete Nance,MIL,25,"6'10""",225,1,7,2,1,5
Peyton Watson,DEN,22,"6'7""",200,2,198,47,92,93
Phillip Wheeler,PHI,22,,,,3,1,1,2
Precious Achiuwa,NYK,25,"6'8""",243,4,148,41,46,50
Quentin Grimes,PHI,24,"6'4""",210,3,381,74,173,224
Quenton Jackson,IND,26,"6'5""",173,2,48,17,34,48
Quincy Olivari,LAL,23,,,,1,0,1,1
Quinten Post,GSW,25,"7'0""",238,R,120,16,23,55
RJ Barrett,TOR,24,"6'6""",214,5,460,46,233,314
RayJ Dennis,IND,24,"6'2""",180,R,2,3,1,5
Rayan Rupert,POR,20,"6'6""",195,1,47,15,20,23
Reece Beekman,BKN,23,"6'3""",190,R,31,29,27,56
Reed Sheppard,HOU,20,"6'2""",185,R,79,32,10,63
Reggie Jackson,PHI,34,,,,52,16,8,45
Richaun Holmes,WAS,31,"6'9""",235,9,90,9,53,42
