MIN_PG,PF_PG,STL_PG,PTS_PG,FGM_PG,FGA_PG,BLK_PG,BLKA_PG,PLUS_MINUS_PG,PFD_PG,TOV_PG,DREB_PG,REB_PG,OREB_PG,FTM_PG,FTA_PG,POSS_PG,EXP,POSS,AGE,HEIGHT,WEIGHT,BMI,USG_PCT,PIE,E_OFF_RATING,E_DEF_RATING,AST_TO,AST_RATIO,FG3M_PG,FG3A_PG,AST_PG,PFD_PG,Games Missed
7.402380952380952,0.5238095238095238,0.23809523809523808,3.238095238095238,1.2857142857142858,2.880952380952381,0.07142857142857142,0.19047619047619047,0.42857142857142855,0.30952380952380953,0.3333333333333333,0.8571428571428571,1.1904761904761905,0.3333333333333333,0.35714285714285715,0.5476190476190477,16.69047619047619,1.0,701,23,78.0,179.0,20.68326758711374,0.18,0.076,109.9,106.2,1.43,12.1,0.30952380952380953,1.1904761904761905,0.47619047619047616,0.30952380952380953,0
10.969315476190475,0.875,0.16071428571428573,4.5,1.4821428571428572,3.5,0.07142857142857142,0.05357142857142857,0.8928571428571429,0.35714285714285715,0.21428571428571427,0.9821428571428571,1.1428571428571428,0.16071428571428573,0.30357142857142855,0.3392857142857143,22.660714285714285,1.0,1269,24,76.0,190.0,23.125,0.15,0.068,115.2,111.2,2.5,12.3,1.2321428571428572,3.017857142857143,0.5357142857142857,0.35714285714285715,4
8.5365,0.3,0.05,2.4,0.9,3.1,0.1,0.15,-2.55,0.05,0.4,0.8,0.9,0.1,0.1,0.1,19.05,1.0,381,20,78.0,220.0,25.42077580539119,0.167,0.017,106.9,121.7,0.63,6.6,0.5,1.95,0.25,0.05,25
31.463150684931506,1.9452054794520548,0.7671232876712328,13.876712328767123,5.4520547945205475,9.808219178082192,0.6164383561643836,0.7808219178082192,5.794520547945205,3.0547945205479454,1.4383561643835616,4.068493150684931,6.4520547945205475,2.3835616438356166,2.4246575342465753,3.684931506849315,64.34246575342466,9.0,4697,28,80.0,235.0,25.81328125,0.174,0.103,118.5,110.4,2.47,21.7,0.547945205479452,1.8904109589041096,3.547945205479452,3.0547945205479454,9
16.273034188034188,1.6025641025641026,0.5384615384615384,6.589743589743589,2.3846153846153846,5.346153846153846,0.07692307692307693,0.2564102564102564,1.0897435897435896,0.8333333333333334,0.6794871794871795,1.2820512820512822,1.5769230769230769,0.2948717948717949,0.7435897435897436,0.8076923076923077,34.69230769230769,5.0,2706,27,72.0,185.0,25.087770061728396,0.158,0.078,111.0,108.0,2.64,22.1,1.0769230769230769,2.782051282051282,1.794871794871795,0.8333333333333334,0
27.703541666666666,3.3472222222222223,0.9027777777777778,12.180555555555555,4.375,8.819444444444445,0.6805555555555556,0.7083333333333334,2.236111111111111,2.013888888888889,0.8888888888888888,2.9444444444444446,3.8194444444444446,0.875,1.4861111111111112,1.9027777777777777,59.013888888888886,3.0,4249,24,78.0,215.0,24.843030900723207,0.158,0.071,117.7,113.9,1.69,12.5,1.9444444444444444,4.638888888888889,1.5,2.013888888888889,10
15.742799145299145,1.1666666666666667,0.717948717948718,6.948717948717949,2.717948717948718,4.833333333333333,0.24358974358974358,0.4230769230769231,1.205128205128205,0.7564102564102564,0.717948717948718,1.6153846153846154,2.3846153846153846,0.7692307692307693,0.717948717948718,0.9102564102564102,32.76923076923077,2.0,2556,25,77.0,190.0,22.528250969809413,0.163,0.096,116.5,108.9,1.54,15.6,0.7948717948717948,1.6153846153846154,1.1025641025641026,0.7564102564102564,0
7.008333333333334,0.0,0.0,1.5,0.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.5,0.0,31,24,75.0,180.0,22.496,0.212,0.013,116.0,110.5,0.0,36.4,0.5,3.0,2.0,0.0,0
7.306851851851852,0.5555555555555556,0.1111111111111111,4.0,1.5555555555555556,3.0,0.0,0.2222222222222222,3.7777777777777777,0.7777777777777778,0.5555555555555556,1.8888888888888888,4.0,2.111111111111111,0.8888888888888888,1.3333333333333333,16.0,0.0,144,22,81.0,245.0,26.251333638164915,0.21,0.149,118.7,95.6,0.0,0.0,0.0,0.0,0.0,0.7777777777777778,0
3.667753623188406,0.391304347826087,0.043478260869565216,1.1304347826086956,0.43478260869565216,1.1304347826086956,0.0,0.13043478260869565,-0.5652173913043478,0.13043478260869565,0.21739130434782608,0.6086956521739131,0.7391304347826086,0.13043478260869565,0.0,0.08695652173913043,7.695652173913044,3.0,177,27,77.0,241.0,28.575307809074044,0.167,0.063,94.8,97.7,1.4,17.9,0.2608695652173913,0.6956521739130435,0.30434782608695654,0.13043478260869565,1
26.766102564102564,1.4307692307692308,0.5846153846153846,8.646153846153846,3.292307692307692,6.446153846153846,0.9538461538461539,0.16923076923076924,6.476923076923077,0.4461538461538462,0.7384615384615385,5.092307692307692,6.3538461538461535,1.2615384615384615,0.4,0.46153846153846156,55.15384615384615,16.0,3585,38,81.0,240.0,25.715592135345222,0.119,0.105,120.5,108.7,3.5,25.9,1.6615384615384616,3.9692307692307693,2.5846153846153848,0.4461538461538462,16
18.356742424242427,1.1363636363636365,0.42424242424242425,10.43939393939394,3.1818181818181817,8.621212121212121,0.18181818181818182,0.3181818181818182,-3.878787878787879,1.9242424242424243,0.7272727272727273,1.9090909090909092,2.272727272727273,0.36363636363636365,2.196969696969697,2.5303030303030303,38.59090909090909,12.0,2547,32,77.0,214.0,25.37392477652218,0.234,0.087,107.9,118.3,1.83,11.4,1.878787878787879,5.0,1.3333333333333333,1.9242424242424243,9
